Id,Asset class,Emission factor type,Country,Data level 1 information,Data level 2 information,EPC Rating,Emission factor functional unit (name),Emission factor functional unit (unit),Emission factor (name),Emission factor (unit),PCAF data quality score,Emission factor
4102,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - High Street,G,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.180344
4103,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - High Street,H,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.242253
4104,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - High Street,I,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.304161
4105,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Shopping Center,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0332382
4106,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Shopping Center,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0505128
4107,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Shopping Center,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.057812
4108,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Shopping Center,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0651111
4109,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Shopping Center,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0809259
4110,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Shopping Center,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.105256
4111,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Shopping Center,G,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.141752
4112,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Shopping Center,H,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.190413
4113,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Shopping Center,I,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.239074
4114,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Strip Mall,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0362019
4115,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Strip Mall,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0550169
4116,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Strip Mall,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0629668
4117,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Strip Mall,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0709168
4118,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Strip Mall,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0881417
4119,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Strip Mall,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.114642
4120,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Strip Mall,G,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.154391
4121,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Strip Mall,H,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.207391
4122,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Retail - Strip Mall,I,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.260391
4123,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Hotel,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0344125
4124,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Hotel,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0522974
4125,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Hotel,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0598544
4126,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Hotel,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0674114
4127,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Hotel,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0837849
4128,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Hotel,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.108975
4129,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Hotel,G,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.14676
4130,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Hotel,H,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.19714
4131,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Hotel,I,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.24752
4132,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Industrial distribution warehouse,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.014513
4133,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Industrial distribution warehouse,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0220557
4134,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Industrial distribution warehouse,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0252427
4135,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Industrial distribution warehouse,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0284298
4136,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Industrial distribution warehouse,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0353351
4137,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Industrial distribution warehouse,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0459586
4138,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Industrial distribution warehouse,G,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0618939
4139,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Industrial distribution warehouse,H,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.083141
4140,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Industrial distribution warehouse,I,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.104388
4141,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Healthcare,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0416276
4142,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Healthcare,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0632623
4143,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Healthcare,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0724038
4144,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Healthcare,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0815452
4145,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Healthcare,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.101352
4146,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Healthcare,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.131823
4147,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Healthcare,G,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.17753
4148,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Healthcare,H,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.238473
4149,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Healthcare,I,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.299416
4150,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Leisure and sports facilities,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0372982
4151,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Leisure and sports facilities,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0566829
4152,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Leisure and sports facilities,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0648736
4153,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Leisure and sports facilities,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0730643
4154,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Leisure and sports facilities,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0908109
4155,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Leisure and sports facilities,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.118113
4156,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Leisure and sports facilities,G,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.159067
4157,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Leisure and sports facilities,H,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.213672
4158,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Leisure and sports facilities,I,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.268276
4168,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Non-Residential Total,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0340408
4169,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Non-Residential Total,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0517326
4170,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Non-Residential Total,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0592079
4171,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Non-Residential Total,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0666833
4172,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Non-Residential Total,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.08288
4173,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Non-Residential Total,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.107798
4174,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Non-Residential Total,G,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.145175
4175,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Non-Residential Total,H,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.195011
4176,Commercial real estate,Emissions,Luxembourg,Non-Residential buildings,Non-Residential Total,I,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.244847
4189,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Office,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0568373
4190,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Office,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0841959
4191,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Office,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.103136
4192,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Office,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.122077
4193,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Office,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.147331
4194,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Office,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.181003
4195,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - High Street,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0655232
4196,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - High Street,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0970626
4197,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - High Street,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.118898
4198,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - High Street,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.140733
4199,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - High Street,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.169846
4200,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - High Street,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.208664
4201,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - Shopping Center,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0511445
4202,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - Shopping Center,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0757628
4203,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - Shopping Center,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0928062
4204,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - Shopping Center,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.10985
4205,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - Shopping Center,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.132574
4206,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - Shopping Center,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.162874
4207,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - Strip Mall,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0544115
4208,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - Strip Mall,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0806024
4209,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - Strip Mall,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0987345
4210,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - Strip Mall,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.116867
4211,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - Strip Mall,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.141043
4212,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Retail - Strip Mall,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.173278
4213,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Hotel,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.040918
4214,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Hotel,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0606138
4215,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Hotel,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0742494
4216,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Hotel,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0878849
4217,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Hotel,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.106066
4218,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Hotel,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.130307
4219,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Industrial distribution warehouse,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0137362
4220,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Industrial distribution warehouse,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0203481
4221,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Industrial distribution warehouse,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0249256
4222,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Industrial distribution warehouse,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0295031
4223,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Industrial distribution warehouse,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0356064
4224,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Industrial distribution warehouse,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0437441
4225,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Healthcare,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0506035
4226,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Healthcare,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0749614
4227,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Healthcare,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0918245
4228,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Healthcare,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.108688
4229,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Healthcare,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.131172
4230,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Healthcare,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.161151
4231,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Leisure and sports facilities,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0509881
4232,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Leisure and sports facilities,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0755311
4233,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Leisure and sports facilities,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0925224
4234,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Leisure and sports facilities,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.109514
4235,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Leisure and sports facilities,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.132169
4236,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Leisure and sports facilities,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.162375
4243,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Non-Residential Total,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0453923
4244,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Non-Residential Total,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0672417
4245,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Non-Residential Total,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0823683
4246,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Non-Residential Total,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0974948
4247,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Non-Residential Total,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.117664
4248,Commercial real estate,Emissions,Latvia,Non-Residential buildings,Non-Residential Total,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.144555
4263,Commercial real estate,Emissions,Malta,Non-Residential buildings,Office,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0410288
4264,Commercial real estate,Emissions,Malta,Non-Residential buildings,Office,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0597527
4265,Commercial real estate,Emissions,Malta,Non-Residential buildings,Office,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0812391
4266,Commercial real estate,Emissions,Malta,Non-Residential buildings,Office,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.115004
4267,Commercial real estate,Emissions,Malta,Non-Residential buildings,Office,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.145698
4268,Commercial real estate,Emissions,Malta,Non-Residential buildings,Office,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.167185
4269,Commercial real estate,Emissions,Malta,Non-Residential buildings,Office,G,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.188671
4270,Commercial real estate,Emissions,Malta,Non-Residential buildings,Retail - High Street,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0420638
4271,Commercial real estate,Emissions,Malta,Non-Residential buildings,Retail - High Street,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0555448
4272,Commercial real estate,Emissions,Malta,Non-Residential buildings,Retail - High Street,C,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0710148
4273,Commercial real estate,Emissions,Malta,Non-Residential buildings,Retail - High Street,D,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0953249
4274,Commercial real estate,Emissions,Malta,Non-Residential buildings,Retail - High Street,E,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.117425
4275,Commercial real estate,Emissions,Malta,Non-Residential buildings,Retail - High Street,F,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.132895
4276,Commercial real estate,Emissions,Malta,Non-Residential buildings,Retail - High Street,G,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.148365
4277,Commercial real estate,Emissions,Malta,Non-Residential buildings,Retail - Shopping Center,A,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0329075
4278,Commercial real estate,Emissions,Malta,Non-Residential buildings,Retail - Shopping Center,B,Floor area,m²,EPC Emission Intensity per m²,tCO&lt;sub&gt;2&lt;/sub&gt;e/m²,3,0.0423023
