Geographies,Framework,Framework Sub-Category,Industry,Sector,ProductCategories_AssetClasses,Applicable Asset_Class (Short Name),Applicable Sub-Asset_Class
Europe,EU Taxonomy,,Financial Services,Banking & Capital Markets,Financial assets designated at fair value through profit or loss,Designated valued financial assets,Debt securities
Europe,EU Taxonomy,,Financial Services,Banking & Capital Markets,Financial assets designated at fair value through profit or loss,Designated valued financial assets,Loans and advances
Europe,EU Taxonomy,,Financial Services,Banking & Capital Markets,Financial assets held for trading,Trading financial assets,Debt securities
Europe,EU Taxonomy,,Financial Services,Banking & Capital Markets,Financial assets held for trading,Trading financial assets,Derivatives
Europe,EU Taxonomy,,Financial Services,Banking & Capital Markets,Financial assets held for trading,Trading financial assets,Equity instruments
Europe,EU Taxonomy,,Financial Services,Banking & Capital Markets,Financial assets held for trading,Trading financial assets,Loans and advances
Europe,EU Taxonomy,,Financial Services,Banking & Capital Markets,"Investments in subsidiaries, joint ventures and associates","Investments in subsidiaries, joint ventures, and associates","Investments in subsidiaries, joint ventures, and associates"
Europe,EU Taxonomy,,Financial Services,Banking & Capital Markets,Non-current assets and disposal groups classified as held for sale,Non-current assets for sale,Non-current assets for sale
Europe,EU Taxonomy,,Financial Services,Banking & Capital Markets,Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Debt securities
Europe,EU Taxonomy,,Financial Services,Banking & Capital Markets,Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Equity instruments
Europe,EU Taxonomy,,Financial Services,Banking & Capital Markets,Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Loans and advances
Europe,EU Taxonomy,,Financial Services,Banking & Capital Markets,Other assets,Other assets,Other assets
Europe,EU Taxonomy,,Financial Services,Banking & Capital Markets,Tangible assets,Tangible assets,Investment property
Europe,EU Taxonomy,,Financial Services,Banking & Capital Markets,Tangible assets,Tangible assets,"Property, Plant and Equipment"
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth","Cash, cash balances at central banks and other demand deposits",Cash and demand deposits,Cash balances at central banks
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth","Cash, cash balances at central banks and other demand deposits",Cash and demand deposits,Cash on hand
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth","Cash, cash balances at central banks and other demand deposits",Cash and demand deposits,Other demand deposits
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Derivatives – Hedge accounting,Hedge accounting derivatives,Hedge accounting derivatives
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Fair value changes of the hedged items in portfolio hedge of interest rate risk,Hedged items interest rate risk fair value changes,Hedged items interest rate risk fair value changes
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Financial assets at amortised cost,Amortised cost financial assets,Debt securities
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Financial assets at amortised cost,Amortised cost financial assets,Loans and advances
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Financial assets at fair value through other comprehensive income,Financial assets in other  income,Debt securities
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Financial assets at fair value through other comprehensive income,Financial assets in other  income,Equity instruments
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Financial assets at fair value through other comprehensive income,Financial assets in other  income,Loans and advances
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Financial assets designated at fair value through profit or loss,Designated valued financial assets,Debt securities
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Financial assets designated at fair value through profit or loss,Designated valued financial assets,Loans and advances
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Financial assets held for trading,Trading financial assets,Debt securities
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Financial assets held for trading,Trading financial assets,Derivatives
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Financial assets held for trading,Trading financial assets,Equity instruments
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Financial assets held for trading,Trading financial assets,Loans and advances
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth","Investments in subsidiaries, joint ventures and associates","Investments in subsidiaries, joint ventures, and associates","Investments in subsidiaries, joint ventures, and associates"
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Non-current assets and disposal groups classified as held for sale,Non-current assets for sale,Non-current assets for sale
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Debt securities
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Equity instruments
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Loans and advances
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Other assets,Other assets,Other assets
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Tangible assets,Tangible assets,Investment property
Europe,EU Taxonomy,,Financial Services,"Investment, Assets and Wealth",Tangible assets,Tangible assets,"Property, Plant and Equipment"
